FID,Track_id,Log_Number,,distance traveled,2012 data,2015 data,Species,Azimuth,DR__Max_,DR__Min_,Basal_Diam,Basal_Dist,Top_Diamte,Total_Leng,Decay_Fact,Buried,Type,Comments_L,Max_PDOP,Max_HDOP,Corr_Type,Rcvr_Type,GPS_Date,GPS_Time,Update_Sta,Feat_Name,Datafile,Unfilt_Pos,Filt_Pos,Data_Dicti,GPS_Week,GPS_Second,GNSS_Heigh,Vert_Prec,Horz_Prec,Std_Dev,Northing,Easting,Point_ID
324, ,7777,,,,16.9, ,15,0,0,0,0,0,10.60000038,Medium,No,Racked,".5-.7D, no roots , tag scraped",4.5,2,Postprocessed Carrier Float,GeoXH 6000,10/7/2015,12:17:42pm,New,Snag_Loc,XH100711C.cor,18,18,Elwha Snags14,1865,328678,298.834,1.2,1.1,0.733229,388214.069,965954.156,404
466, ,5277,,0.4,22,21.6, ,260,0,0,0,0,0,0,Medium,Yes,Loose,both tags,2.400000095,1.600000024,Postprocessed Carrier Float,Geo 7X (H-Star),10/22/2015,01:55:37pm,New,Snag_Loc,7X102213A.cor,16,16, ,1867,420953,452.31,0.8,0.5,3.738502,376183.719,962877.777,22
60, ,5272,,10.4,21.7,11.3,PSME,84,0,0,0.439999998,0,0.400000006,6.599999905,Low,No,Racked, ,2.900000095,1.700000048,Postprocessed Carrier Float,GeoXH 6000,10/20/2015,01:51:20pm,New,Snag_Loc,XH102010A.cor,15,15,Elwha Snags14,1867,247896,180.001,0.7,0.4,2.731571,403028.787,970071.045,61
470, ,5267,,1.4,21.7,20.3, ,125,0,0,0,0,0,12.5,Low,No,Racked, ,4.099999905,2.200000048,Postprocessed Carrier Float,Geo 7X (H-Star),10/14/2015,02:28:52pm,New,Snag_Loc,7X101413A.cor,16,16, ,1866,336548,394.727,1.4,0.9,1.955263,379900.491,964035.113,27
330, ,5258,,4.7,21.6,16.9, ,130,0,0,0,0,0,0,Low,No,Racked,about 7m length,10.5,6.599999905,Postprocessed Carrier Float,GeoXH 6000,10/7/2015,02:26:39pm,New,Snag_Loc,XH100711C.cor,17,17,Elwha Snags14,1865,336415,304.569,0.9,0.8,0.302972,388209.065,966254.147,410
338, ,5258,,3.9,21.6,17.7, ,160,0,0,0,0,0,4.5,Low,Yes,Loose, ,5.300000191,2.700000048,Postprocessed Carrier Float,GeoXH 6000,9/30/2015,02:36:02pm,New,Snag_Loc,XH093012B.cor,21,21,Elwha Snags14,1864,336978,320.672,1,0.7,1.310276,386127.81,964864.898,445
319, ,5257,,3.6,21.6,18, ,190,0,0,0,0,0,7,Low,Yes,Loose, ,3,1.299999952,Postprocessed Code,GeoXH 6000,10/12/2015,02:02:49pm,New,Snag_Loc,XH101211A.cor,70,70,Elwha Snags14,1866,162185,329.383,1.3,1.1,1.255953,385107.558,964840.492,361
342, ,5257,,3.6,21.6,18, ,190,0,0,0,0,0,7.5,Low,Yes,Loose, ,4.699999809,2,Postprocessed Code,GeoXH 6000,9/30/2015,04:12:50pm,New,Snag_Loc,XH093012B.cor,56,56,Elwha Snags14,1864,342786,328.657,1.8,1.6,1.197168,385129.15,964840.003,449
26, ,5245,,10.5,21.6,11.1,PSME,198,0,0,0.270000011,0,0.400000006,3.5,Low,No,Racked, ,2.400000095,1.600000024,Postprocessed Carrier Float,GeoXH 6000,10/20/2015,12:06:19pm,New,Snag_Loc,XH102010A.cor,10,10,Elwha Snags14,1867,241595,177.249,0.7,0.4,0.093131,403376.995,970263.092,27
312, ,5243,,0.1,19.4,19.3, ,280,0,0,0,0,0,7,Low,No,Racked,both tags there,5.199999809,2.200000048,Postprocessed Carrier Float,GeoXH 6000,10/13/2015,02:00:11pm,New,Snag_Loc,XH101313A.cor,27,27,Elwha Snags14,1866,248427,364.405,2.6,2.2,2.670424,381398.297,965657.48,350
475, ,5242,,3.2,19.4,16.2, ,10,0,0,0,0,0,5,Medium,No,Loose, ,5.5,3,Postprocessed Carrier Float,Geo 7X (H-Star),10/1/2015,02:18:01pm,New,Snag_Loc,7X100114A.cor,31,31, ,1864,422297,281.668,1.4,1.6,5.301239,389273.556,964642.995,77
335, ,5241,,2.4,19.4,17,THPL,146,0,0,0,0,0,4,Medium,No,Racked,cedar,4.800000191,3.099999905,Postprocessed Code,GeoXH 6000,9/30/2015,12:29:16pm,New,Snag_Loc,XH093012B.cor,17,17,Elwha Snags14,1864,329372,304.55,1.4,0.7,0.383826,387785,966052.33,442
309, ,5237,,0.1,19.4,19.3, ,330,0,0,0,0,0,6.5,Low,No,Racked, ,5,1.799999952,Postprocessed Carrier Float,GeoXH 6000,10/13/2015,01:45:46pm,New,Snag_Loc,XH101313A.cor,25,25,Elwha Snags14,1866,247562,360.914,1.3,0.9,1.73381,381334.72,965541.486,347
339, ,5233,,1.9,19.5,17.6, ,210,0,0,0,0,0,6,Low,No,Loose,no roots,5,2.299999952,Postprocessed Code,GeoXH 6000,9/30/2015,02:43:41pm,New,Snag_Loc,XH093012B.cor,20,20,Elwha Snags14,1864,337437,320.16,1.7,1.5,2.221457,386373.063,964821.078,446
334, ,5230,,2.3,19.4,17.1, ,128,0,0,0,0,0,15,Low,No,Racked, ,5.5,2,Postprocessed Carrier Float,GeoXH 6000,9/30/2015,12:16:18pm,New,Snag_Loc,XH093012B.cor,20,20,Elwha Snags14,1864,328594,306.582,2.4,1.3,4.628507,387655.532,965922.063,441
325, ,5229,,2.5,19.4,16.9, ,0,0,0,0,0,0,0,Low,Yes,Racked, ,3.299999952,1.899999976,Postprocessed Code,GeoXH 6000,10/7/2015,12:19:25pm,New,Snag_Loc,XH100711C.cor,13,13,Elwha Snags14,1865,328781,296.262,1.4,0.9,0.469338,388235.749,965938.73,405
328, ,5212,,5.3,22.1,16.8, ,260,0,0,0,0,0,6.5,Low,No,Racked, ,5.900000095,4.800000191,Postprocessed Carrier Float,GeoXH 6000,10/7/2015,01:56:36pm,New,Snag_Loc,XH100711C.cor,15,15,Elwha Snags14,1865,334612,295.802,1.5,0.9,0.878839,388403.235,965896.105,408
329, ,5209,,4.9,21.8,16.9, ,200,0,0,0,0,0,7,Low,No,Racked,fir,4.199999809,1.700000048,Postprocessed Carrier Float,GeoXH 6000,10/7/2015,02:15:08pm,New,Snag_Loc,XH100711C.cor,19,19,Elwha Snags14,1865,335724,298.583,0.7,0.4,0.177093,388237.369,966199.314,409
318, ,5207,,4.4,21.5,17.1, ,1,0,0,0,0,0,9,Low,No,Loose, ,3.599999905,1.700000048,Postprocessed Code,GeoXH 6000,10/12/2015,01:27:26pm,New,Snag_Loc,XH101211A.cor,20,20,Elwha Snags14,1866,160062,316.871,2,1.5,7.026885,387439.909,966114.025,359
