Number,Identifier,Length,Measure
1,1_l,34,2750.401263
2,1_w,13,2751.19093
3,2_l,46,2817.458453
4,2_w,10,2815.513652
5,3_l,67,2111.298178
6,3_w,7,2127.133935
7,4_l,49,3461.121316
8,4_w,15,3461.62494
9,5_l,135,4337.8073
10,5_w,87,4337.8073
11,6_l,93,4386.646881
12,6_w,24,4398.583103
13,7_l,39,4343.470381
14,7_w,18,4345.261114
15,8_l,81,4343.55862
16,8_w,15,4356.048516
17,9_l,120,4789.390612
18,9_w,19,4790.552816
19,10_l,116,4743.55452
20,10_w,17,4731.398318
21,11_l,69,4455.612475
22,11_w,16,4460.422947
23,12_l,76,5128.281295
24,12_w,19,5125.744679
25,13_l,73,5203.256712
26,13_w,34,5205.895116
27,14_l,41,5320.497199
28,14_w,25,5315.559722
29,15_l,70,4902.557809
30,15_w,13,4896.148789
31,16_l,55,5533.295488
32,16_w,17,5533.574789
33,17_l,39,5450.258737
34,17_w,11,5453.075544
35,18_l,36,5570.263325
36,18_w,12,5570.821119
37,19_l,60,7971.9664
38,19_w,23,7971.9664
39,20_l,28,8067.938901
40,20_w,34,8076.795748
41,21_l,77,8085.5829
42,21_w,10,8085.5829
43,22_l,29,8036.989951
44,22_w,11,8037.22232
45,23_l,29,8085.5829
46,23_w,16,8085.5829
47,24_l,91,5691.298826
48,24_w,28,5680.28957
49,25_l,54,6066.157391
50,25_w,29,6063.797441
51,26_l,106,6130.501272
52,26_w,69,6144.227577
53,27_l,104,7739.380586
54,27_w,50,7722.529638
55,28_l,74,8400.807736
56,28_w,30,8408.022417
57,29_l,55,8332.458777
58,29_w,16,8332.619582
59,30_l,138,8906.09789
60,30_w,24,8919.213318
61,31_l,98,9066.813614
62,31_w,47,9071.546454
63,32_l,90,8648.241513
64,32_w,22,8660.851336
65,33_l,83,11554.61059
66,33_w,11,11546.29917
67,34_l,35,14186.2853
68,34_w,25,14186.2853
69,35_l,14,14186.2853
70,35_w,15,14186.2853
71,36_l,28,14186.2853
72,36_w,9,14186.2853
73,37_l,36,14777.33989
74,37_w,11,14779.87466
75,38_l,43,14947.45433
76,38_w,21,14948.31821
77,39_l,88,15779.28745
78,39_w,27,15782.56331
79,40_l,42,17484.39891
80,40_w,16,17482.95461
