Number,Identifier,Length,Measure,,,,,
1,1_l,112,465.70004208700,,,,,
2,1_w,17,487.98530140300,,,,,
3,2_l,45,779.92353373400,,,,,
4,2_w,6,773.41986139900,,,,,
5,3_l,32,814.44409829700,,,,,
6,3_w,5,822.78074205500,,,,,
7,4_l,69,791.78685920700,,,,,
8,4_w,10,796.68205118700,,,,,
9,5_l,79,1971.64758613000,,,,,
10,5_w,21,1970.77409235000,,,,,
11,6_l,70,2272.35509821000,,,,,
12,6_w,16,2271.80882801000,,,,,
13,7_l,48,1936.99357704000,,,,,
14,7_w,11,1939.30516645000,,,,,
15,8_l,80,2580.49125493000,,,,,
16,8_w,27,2568.08362130000,,,,,
17,9_l,74,2585.10468586000,,,,,
18,9_w,19,2578.62641459000,,,,,
19,10_l,97,2673.90267368000,,,,,
20,10_w,19,2649.22577071000,,,,,
21,11_l,39,1935.42821739000,,,,,
22,11_w,16,1934.53303704000,,,,,
23,12_l,58,1894.24087765000,,,,,
24,12_w,14,1900.80619083000,,,,,
25,13_l,56,2760.05222969000,,,,,
26,13_w,28,2757.69797887000,,,,,
27,14_l,76,2829.57152576000,,,,,
28,14_w,20,2809.04954194000,,,,,
29,15_l,175,3033.79341792000,,,,,
30,15_w,19,3065.38489436000,,,,,
31,16_l,69,2993.16322184000,,,,,
32,16_w,15,2990.55593276000,,,,,
33,17_l,87,4284.71412769000,,,,,
34,17_w,26,4314.24003768000,,,,,
35,18_l,267,4337.80730000000,,,,,
36,18_w,45,4337.80730000000,,,,,
37,19_l,83,4345.13680776000,,,,,
38,19_w,22,4339.54021614000,,,,,
39,20_l,154,4754.11830000000,,,,,
40,20_w,25,4754.11830000000,,,,,
41,21_l,84,4754.11830000000,,,,,
42,21_w,20,4754.11830000000,,,,,
43,22_l,73,4901.05344666000,,,,,
44,22_w,45,4904.29943788000,,,,,
45,23_l,63,4802.39730152999,,,,,
46,23_w,31,4806.12945867000,,,,,
47,24_l,68,4486.51991072000,,,,,
48,24_w,13,4496.78754670000,,,,,
49,25_l,110,5175.26839948000,,,,,
50,25_w,25,5190.08295974000,,,,,
51,26_l,64,5119.21056058000,,,,,
52,26_w,17,5117.92526773000,,,,,
53,27_l,89,5208.51240000000,,,,,
54,27_w,13,5208.51240000000,,,,,
55,28_l,51,5231.37467075000,,,,,
56,28_w,9,5242.03555598000,,,,,
57,29_l,92,5898.56539958000,,,,,
58,29_w,11,5925.24783821000,,,,,
59,30_l,74,5683.27033524000,,,,,
60,30_w,14,5692.17814462000,,,,,
61,31_l,41,5335.98495699000,,,,,
62,31_w,14,5340.51568474000,,,,,
63,32_l,143,6168.53258845000,,,,,
64,32_w,60,6168.94170710000,,,,,
65,33_l,138,6161.34356908000,,,,,
66,33_w,27,6158.95229047000,,,,,
67,34_l,51,5994.22146112000,,,,,
68,34_w,28,5996.32506926000,,,,,
