Number,Identifier,Length,Measure,ELJ_ID_1
1,1_l,130,1964.95575575000,
2,1_w,26,1972.25776935000,
3,2_l,198,2595.42090165000,
4,2_w,52,2576.13502718000,
5,3_l,148,2638.70057956000,
6,3_w,51,2619.17998254000,
7,4_l,196,2847.74836630000,
8,4_w,35,2836.49997268000,
9,5_l,163,4866.77892150000,
10,5_w,47,4878.04553156000,
11,6_l,102,5102.34583747000,
12,6_w,21,5113.33918527000,
13,7_l,196,5303.20497805000,
14,7_w,20,5351.86474755000,
15,8_l,94,5251.18281050000,
16,8_w,16,5245.38289543000,
17,9_l,114,5387.58270287000,
18,9_w,22,5424.23702106000,
19,10_l,80,5717.07250000000,
20,10_w,34,5728.83963576000,
21,11_l,115,5973.14334989000,
22,11_w,27,5980.70133954000,
23,12_l,21,6087.88298510000,
24,12_w,18,6090.02156685000,
25,13_l,90,6455.55181601000,
26,13_w,10,6463.26139626000,
27,14_l,37,6210.94900000000,
28,14_w,71,6166.10544919000,
29,15_l,127,7330.52080000000,
30,15_w,55,7330.52080000000,
31,16_l,111,7425.62565203000,
32,16_w,40,7429.30914131000,
33,17_l,29,7547.30554998000,
34,17-w,28,7546.91702713000,
35,18_w,123,7715.50540000000,
36,18_l,458,7715.50540000000,
37,19_l,402,8116.25039674000,
38,19_w,42,8106.51616400000,
39,20_l,36,8442.57518679000,
40,20_w,22,8441.16365504000,
41,21_l,65,8512.71715149000,
42,21_w,13,8510.02947854000,
43,22_l,68,8604.57789068000,
44,22_w,18,8612.75959975000,
45,23_l,63,8611.17872307000,
46,23_w,13,8615.04831488000,
49,25_l,39,8959.67299824000,
50,25_w,18,8956.40132007000,
51,26_l,30,9039.98332907000,
52,26_w,22,9042.12541555000,
71,36_l,34,9343.85614038000,
72,36_w,18,9343.11283830000,
75,38_l,48,8758.77065009000,
76,38_w,34,8752.63759158000,
77,39_l,30,8720.03762319000,
78,39_w,30,8717.22906665000,
79,40_l,32,8836.58523002000,
80,40_w,78,8813.16951254000,
97,49_l,31,8085.58290000000,
98,49_w,16,8085.58290000000,
117,59_l,17,5590.96813001000,
118,59_w,13,5590.91781405000,
119,60_l,56,4764.50477787000,
120,60_w,6,4767.69852553000,
121,61_l,30,4754.11830000000,
122,61_w,32,4754.11830000000,
123,62_l,35,4754.11830000000,
124,62_w,13,4754.11830000000,
125,63_l,76,4754.11830000000,
126,63_w,18,4754.11830000000,
127,64_l,70,4337.80730000000,
128,64_w,60,4337.80730000000,
129,65_l,195,4337.80730000000,
130,65_w,26,4337.80730000000,
131,66_l,24,4337.80730000000,
132,66_w,26,4337.80730000000,
133,67_l,81,2502.22436239000,
134,67_w,17,2503.73682563000,
135,68_l,33,4437.17008046000,
136,68_w,11,4433.26970200000,
139,70_l,74,12115.44818080000,
140,70_w,46,12111.24894240000,
141,71_l,52,12936.38887350000,
142,71_w,11,12937.22591580000,
143,72_l,21,13000.87490650000,
144,72_w,14,13000.41448070000,
145,73_l,46,14376.64921970000,
146,73_w,5,14380.47773670000,
147,74_l,95,14485.63364800000,
148,74_w,3,14482.95048130000,
149,75_l,74,14602.94253550000,
150,75_w,10,14606.98730590000,
151,76_l,25,14537.63946060000,
152,76_w,7,14536.58967050000,
153,77_l,41,14698.06060540000,
154,77_w,35,14697.78383580000,
155,78_l,21,14773.28134270000,
156,78_w,34,14777.42602410000,
157,79_l,204,16666.99544370000,
158,79_w,15,16671.92645410000,
159,80_l,68,17223.72060000000,
160,80_w,13,17223.72060000000,
161,81_l,68,17526.65344770000,
162,81_w,22,17536.34411480000,
163,82_l,99,17451.55193330000,
164,82_w,13,17432.09907610000,
165,83_l,101,20428.00539750000,
166,83_w,38,20418.13996410000,
167,84_l,30,21374.67429190000,
168,84_w,22,21379.61163460000,
169,85_l,46,26081.46180270000,
170,85_w,19,26082.22302200000,
171,86_l,11,26325.47671600000,
172,86_w,8,26326.53621670000,
173,87_l,12,26311.81395260000,
174,87_w,3,26313.16629150000,
175,88_l,19,26708.05641210000,
176,88_w,8,26708.05201860000,
177,89_l,29,26874.69933860000,
178,89_w,10,26879.71535780000,
179,90_l,39,26854.95402620000,
180,90_w,7,26853.68228690000,
181,91_l,47,26858.61494350000,
182,91_w,13,26860.10437880000,
183,92_l,18,26843.27508060000,
