rkm,size,type
0.7,504,a
0.7,600,a
0.8,140,a
0.8,360,a
0.9,135,a
0.9,248,a
0.9,45,a
1.1,1000,a
1.1,60,a
1.4,174,a
1.5,864,a
1.5,85,a
1.7,28,a
1.7,99,a
1.8,300,a
1.9,33,a
2.0,75,a
2.2,1520,a
2.3,333,a
2.4,5100,a
2.5,1380,a
2.6,240,a
2.6,80,a
2.6,45,a
3.7,75,a
3.9,60,a
4.0,128,a
4.3,153,a
4.5,42,a
4.5,288,a
5.3,212,a
6.2,300,a
7.9,78,a
10.6,60.48,a
10.6,108,a
10.6,210.7,a
10.8,384,a
10.9,42.94,a
11.0,156,a
11.1,293.46,a
11.1,325.48,a
11.2,108,a
11.2,46.92,a
11.2,115.92,a
11.2,214.73,a
11.2,26.64,a
11.2,175.5,a
11.3,1474,a
11.3,61.42,a
11.3,117.8,a
11.3,60.5,a
11.4,1025,a
11.5,185,a
11.5,180,a
11.5,1377,a
11.6,29.5,a
11.6,105,a
11.6,69,a
11.6,302.4,a
11.8,282.75,a
11.8,1108.8,a
11.8,51.92,a
11.8,340,a
12.0,79.38,a
12.1,144,a
12.3,13.5,a
12.7,1,a
12.7,1008,a
13.1,152,a
13.2,117,a
13.2,455,a
16.1,350,a
16.5,300,a
16.9,75,a
16.9,60,a
17.0,100,a
17.3,228,a
17.4,119,a
17.7,300,a
18.2,10,a
18.3,105,a
18.4,56,a
18.6,96,a
19.3,420,a
19.4,36,a
19.4,64,a
20.2,234,a
24.4,90,a
24.5,170,a
