,,,,,,,,,,,,,,,,,,,,,,,,,,,,rkm,size,type,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,972,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,172,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,60,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.3,144,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,46,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,448,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,261,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1,338,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,992,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,240,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,224,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1210,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,480,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,238,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,180,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,52,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,120,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,240,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.4,150,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,418,Bridge,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,140,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.4,234,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,247,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,62,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,1380,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,396,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,222,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,77,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.5,84,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Boulders,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,341,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,140,Bar Apex,,,,,,,,,
