rkm,size,type
0.716882976,76.65,a
0.749410305,130,a
0.769377018,214.17,a
1.32216631,318,a
4.032220642,15.34,a
4.018586851,12.06,a
3.745745946,197.5,a
3.697048774,168.96,a
3.621577185,177.87,a
3.523346846,41.91,a
4.48949843,101.47,a
4.461139868,231,a
4.323988415,425,a
4.486477949,154,a
2.500629331,36.6,a
2.533973645,960,a
2.680620149,67.45,a
2.147978272,29.9,a
2.437052217,351.36,a
2.234347201,507.87,a
2.183742148,45.51,a
2.362898496,432.6,a
2.337858494,112.95,a
2.317457747,51.48,a
2.302919899,123.52,a
2.287978455,229.52,a
2.258842759,199.8,a
1.869070483,2433.44,a
1.732443851,800.32,a
1.849960896,36.96,a
6.209233437,15.75,a
6.196016413,190.65,a
6.168550261,51.8,a
6.157318868,28.08,a
5.729454911,76.95,a
1.44706123,43.61,a
1.449058147,77.52,a
1.421589359,24.5,a
1.402225431,23.5,a
1.360408677,57.72,a
1.32216631,39.48,a
1.308653323,54.24,a
1.336935474,88.4,a
1.318529367,100.11,a
1.323120784,2689.2,a
1.718890857,45.36,a
1.613786793,55.3,a
1.581050712,84.68,a
1.565146876,33.3,a
1.488094662,47.16,a
1.500829575,73.6,a
1.450970191,22.8,a
1.448847265,38.25,a
1.656138653,50.32,a
1.656645248,33.63,a
1.613505075,76,a
